,ID,temp,pressure,humidity,wind_speed,rain_1h,snow_3h,clouds_all,weather_desc,weather_map_main
0,2015-01- Barcelona,0.3480791261864798,0.06740214039722152,0.6456897106825482,0.39033879072783273,0.06201624921878756,0.0,0.2923243965589242,0.3333333333333333,0.3333333333333333
1,2015-01-Bilbao,0.15678349242180198,0.06778318488512254,0.8817567056001568,0.2770951531852813,0.3648863035430989,0.09075519608765166,0.7333947618701218,0.6666666666666666,0.6666666666666666
2,2015-01-Madrid,0.06322008035200723,0.06416388545366451,0.7722045340910979,0.3676446749878424,0.023941156675159843,0.0,0.3091660537284159,0.3333333333333333,0.3333333333333333
3,2015-01-Seville,0.25891520885936736,0.06834700608649572,0.8410134836042858,0.5035824282703841,0.03865198788519783,0.0,0.31801122417913424,0.3333333333333333,0.3333333333333333
4,2015-01-Valencia,0.2691114634101881,0.06731335700764016,0.6429089019838395,0.7975339786179219,0.009794056751917902,0.0,0.22540918408701457,0.3333333333333333,0.3333333333333333
5,2015-02- Barcelona,0.29632032989125145,1.0,0.5293435795244802,0.5125628140703518,0.23248882265275708,0.0,0.3916311701327988,0.3333333333333333,0.6666666666666666
6,2015-02-Bilbao,0.1475399044508709,0.06751123600323264,0.9210726826722814,0.3100502512562814,0.5215030870768576,1.0,1.0,0.6666666666666666,1.0
7,2015-02-Madrid,0.20861732022849264,0.06331293273163534,0.7704682727946869,0.6143216080402011,0.03225463061528635,0.0,0.5072872295999332,0.6666666666666666,0.6666666666666666
8,2015-02-Seville,0.3067324968730548,0.06803226601036205,0.7902790581922328,0.5474874371859296,0.026186927826272084,0.0,0.3373423536289986,0.3333333333333333,0.3333333333333333
9,2015-02-Valencia,0.2965438060989205,0.0671768936301371,0.6156804070871591,1.0,0.02682563338301043,0.007496876301541026,0.46439906456193103,0.3333333333333333,0.6666666666666666
10,2015-03- Barcelona,0.37908155824024975,0.0674873412324835,0.7598145421871115,0.6867239422921058,0.25123792125378586,0.0,0.4710194712296215,0.6666666666666666,0.6666666666666666
11,2015-03-Bilbao,0.24434796595158495,0.06776600886184181,0.8795162013348248,0.1840697430625537,0.3832852274482352,0.05939328779002469,0.7831429599506022,0.3333333333333333,1.0
12,2015-03-Madrid,0.30895248411985343,0.06687826401843552,0.7039310104454857,0.418360983923656,0.12910964330773256,0.0,0.38319597290404084,0.3333333333333333,0.3333333333333333
13,2015-03-Seville,0.44468263855599316,0.06756720032258799,0.7020128341002274,0.40372831901442696,0.14681986442959472,0.0,0.2677314279709993,0.3333333333333333,0.3333333333333333
14,2015-03-Valencia,0.3709005529393566,0.06741342492373457,0.6703850265208908,0.43585897184441724,0.3468919051735723,0.0,0.44987898410724264,0.3333333333333333,0.6666666666666666
15,2015-04- Barcelona,0.4339950519828994,0.06760434325724975,0.8260971198704481,0.44626465661641546,0.044709388971684055,0.0,0.3545700047328712,0.3333333333333333,0.6666666666666666
16,2015-04-Bilbao,0.37679791288864084,0.06753221782707883,0.7377635510710667,0.1962814070351759,0.14098360655737704,0.0,0.6120688215150756,0.6666666666666666,0.6666666666666666
17,2015-04-Madrid,0.3996009994502203,0.06634463214075682,0.6482416382968057,0.4929313232830821,0.08375558867362146,0.0,0.4573317742698851,0.6666666666666666,0.6666666666666666
18,2015-04-Seville,0.5411316742842607,0.06750434282026531,0.6741871484150096,0.4066331658291457,0.11117734724292101,0.0,0.5117430886160528,0.6666666666666666,0.6666666666666666
19,2015-04-Valencia,0.426315983818425,0.06697324574325417,0.6496704804570775,0.3867001675041876,0.04709388971684053,0.0,0.4003674935271027,0.6666666666666666,0.6666666666666666
20,2015-05- Barcelona,0.5495949345359841,0.06752580179761744,0.8848507809264563,0.5033554871129843,0.03201769145714148,0.0,0.29089106403386117,0.3333333333333333,0.3333333333333333
21,2015-05-Bilbao,0.4540295051956429,0.06752473344858594,0.7475066938758589,0.21877127573350624,0.36430940820152874,0.0,0.718401349272422,0.6666666666666666,1.0
22,2015-05-Madrid,0.5944879061705821,0.06377678698791833,0.47216137103279526,0.5510131301669638,0.006634296428056343,0.0,0.2353682883261532,0.3333333333333333,0.3333333333333333
23,2015-05-Seville,0.714411212302571,0.067711961616356,0.48932938191411995,0.469087372345599,0.006634296428056343,0.0,0.203589797474425,0.3333333333333333,0.3333333333333333
24,2015-05-Valencia,0.5855941710119202,0.06566010827227774,0.5650794650132981,0.34903550008105044,0.01442238353925292,0.0,0.23700907687458073,0.3333333333333333,0.3333333333333333
25,2015-06- Barcelona,0.6923986939075777,0.0673934687707077,0.7942713983651589,0.4932270045881582,0.22510205404004405,0.0,0.20496388613510835,0.3333333333333333,0.3333333333333333
26,2015-06-Bilbao,0.546869691959267,0.06736091993042288,0.8094320103179704,0.15407035175879397,0.1427719821162444,0.0,0.5397867423926056,0.3333333333333333,1.0
27,2015-06-Madrid,0.7227788311161705,0.06534930329407433,0.42644948562714274,0.3956847951669706,0.023481717864352623,0.0,0.2172950079507146,0.3333333333333333,0.3333333333333333
28,2015-06-Seville,0.8230437177414721,0.06752513407947275,0.4732296940916252,0.47463986599664987,0.009538002980625931,0.0,0.14335588407249647,0.3333333333333333,0.3333333333333333
29,2015-06-Valencia,0.6902374408575426,0.06639598644396699,0.6193872640258726,0.3309066106154039,0.051124752818590524,0.0,0.18402347109250664,0.3333333333333333,0.3333333333333333
30,2015-07- Barcelona,0.8016906299490428,0.06724542356555836,0.7013402423629246,0.5819497487437186,0.08154992548435172,0.0,0.3106589827111,0.6666666666666666,0.6666666666666666
