,ID,temp,pressure,humidity,wind_speed,rain_1h,snow_3h,clouds_all,weather_desc
0,2015-01- Barcelona,11.357258064516127,1017.5806451612904,63.391129032258064,2.3118279569892475,0.08669354838709678,0.0,20.833333333333332,1.0
1,2015-01-Bilbao,5.115591397849462,1023.3333333333334,86.56720430107526,1.6411290322580645,0.5100806451612904,0.09727822580645161,52.26747311827957,2.0
2,2015-01-Madrid,2.0627688172043013,968.6922043010753,75.81182795698925,2.1774193548387095,0.033467741935483866,0.0,22.033602150537636,1.0
3,2015-01-Seville,8.447983870967743,1031.845430107527,82.56720430107526,2.98252688172043,0.054032258064516135,0.0,22.663978494623656,1.0
4,2015-01-Valencia,8.780671140939598,1016.2402684563758,63.11812080536913,4.723489932885906,0.013691275167785235,0.0,16.06442953020134,1.0
5,2015-02- Barcelona,9.668452380952381,15097.15625,51.96875,3.0357142857142856,0.325,0.0,27.910714285714285,2.0
6,2015-02-Bilbao,4.813988095238095,1019.2276785714286,90.42708333333333,1.8363095238095237,0.7290178571428572,1.071875,71.26785714285714,3.0
7,2015-02-Madrid,6.806845238095238,955.8452380952381,75.64136904761905,3.638392857142857,0.045089285714285714,0.0,36.15327380952381,2.0
8,2015-02-Seville,10.008184523809524,1027.09375,77.58630952380952,3.2425595238095237,0.03660714285714285,0.0,24.041666666666668,1.0
9,2015-02-Valencia,9.675744047619048,1014.1800595238095,60.444940476190474,5.9226190476190474,0.0375,0.008035714285714287,33.09672619047619,2.0
10,2015-03- Barcelona,12.368817204301076,1018.866935483871,74.59543010752688,4.067204301075269,0.3512096774193548,0.0,33.568548387096776,2.0
11,2015-03-Bilbao,7.972678331090175,1023.0740242261104,86.34724091520862,1.0901749663526246,0.5358008075370121,0.0636621803499327,55.81292059219381,3.0
12,2015-03-Madrid,10.080619111709286,1009.671601615074,69.10901749663526,2.477792732166891,0.18048452220726782,0.0,27.30955585464334,1.0
13,2015-03-Seville,14.509274193548386,1020.0725806451613,68.92069892473118,2.3911290322580645,0.20524193548387096,0.0,19.080645161290324,1.0
14,2015-03-Valencia,12.101884253028265,1017.7510094212652,65.81561238223419,2.5814266487213997,0.48492597577388963,0.0,32.06191117092867,2.0
15,2015-04- Barcelona,14.160555555555556,1020.6333333333333,81.10277777777777,2.6430555555555557,0.0625,0.0,25.269444444444446,2.0
16,2015-04-Bilbao,12.294305555555555,1019.5444444444445,72.43055555555556,1.1625,0.19708333333333333,0.0,43.62083333333333,2.0
17,2015-04-Madrid,13.038333333333334,1001.6152777777778,63.641666666666666,2.9194444444444443,0.11708333333333333,0.0,32.59305555555556,2.0
18,2015-04-Seville,17.65625,1019.1236111111111,66.18888888888888,2.408333333333333,0.15541666666666668,0.0,36.47083333333333,2.0
19,2015-04-Valencia,13.91,1011.1055555555556,63.78194444444444,2.290277777777778,0.06583333333333333,0.0,28.533333333333335,2.0
20,2015-05- Barcelona,17.93239247311828,1019.4475806451613,86.87096774193549,2.9811827956989245,0.04475806451612903,0.0,20.731182795698924,1.0
21,2015-05-Bilbao,14.814247311827955,1019.4314516129032,73.38709677419355,1.2956989247311828,0.5092741935483871,0.0,51.19892473118279,3.0
22,2015-05-Madrid,19.39717741935484,962.8481182795699,46.354838709677416,3.263440860215054,0.009274193548387096,0.0,16.774193548387096,1.0
23,2015-05-Seville,23.310080645161293,1022.258064516129,48.04032258064516,2.778225806451613,0.009274193548387096,0.0,14.509408602150538,1.0
24,2015-05-Valencia,19.10698924731183,991.2809139784946,55.47715053763441,2.067204301075269,0.020161290322580645,0.0,16.891129032258064,1.0
25,2015-06- Barcelona,22.591847826086955,1017.4497282608696,77.97826086956522,2.921195652173913,0.31467391304347825,0.0,14.607336956521738,1.0
26,2015-06-Bilbao,17.84347222222222,1016.9583333333334,79.46666666666667,0.9125,0.1995833333333333,0.0,38.46944444444444,3.0
27,2015-06-Madrid,23.583102493074794,986.5886426592798,41.86703601108033,2.343490304709141,0.03282548476454294,0.0,15.486149584487535,1.0
28,2015-06-Seville,26.85458333333333,1019.4375,46.459722222222226,2.811111111111111,0.013333333333333332,0.0,10.216666666666667,1.0
29,2015-06-Valencia,22.521329639889196,1002.3905817174515,60.80886426592798,1.9598337950138505,0.07146814404432134,0.0,13.114958448753463,1.0
30,2015-07- Barcelona,26.157866666666667,1015.2146666666666,68.85466666666666,3.4466666666666668,0.114,0.0,22.14,2.0
31,2015-07-Bilbao,21.14175392670157,1018.6636125654451,77.85078534031413,1.9214659685863875,0.04672774869109948,0.0,46.8913612565445,2.0
32,2015-07-Madrid,29.94510067114094,1016.4644295302013,28.906040268456376,2.597315436241611,0.001610738255033557,0.0,3.959731543624161,1.0
33,2015-07-Seville,32.62838018741633,1013.5729585006693,41.129852744310575,2.4417670682730925,0.008433734939759036,0.0,1.0040160642570282,1.0
34,2015-07-Valencia,27.15764075067024,1015.2935656836461,66.83646112600536,2.3994638069705094,0.01487935656836461,0.0,19.099195710455763,2.0
35,2015-08- Barcelona,23.940026595744683,1015.4162234042553,72.83643617021276,3.1968085106382977,0.2293882978723404,0.0,26.49601063829787,2.0
36,2015-08-Bilbao,21.22734375,1016.4544270833334,75.40755208333333,2.0299479166666665,0.04296875,0.0,34.397135416666664,2.0
37,2015-08-Madrid,25.60764075067024,1016.4932975871313,37.09651474530831,2.8029490616621984,0.006434316353887399,0.0,7.553619302949062,1.0
38,2015-08-Seville,31.323221476510067,1012.8630872483221,46.801342281879194,2.6,0.002818791946308725,0.0,5.367785234899329,1.0
