ID,N_ID
2015-01- Barcelona,1
2015-01-Bilbao,2
2015-01-Madrid,1
2015-01-Seville,1
2015-01-Valencia,1
2015-02- Barcelona,5
2015-02-Bilbao,4
2015-02-Madrid,5
2015-02-Seville,1
2015-02-Valencia,5
2015-03- Barcelona,5
2015-03-Bilbao,2
2015-03-Madrid,1
2015-03-Seville,1
2015-03-Valencia,5
2015-04- Barcelona,5
2015-04-Bilbao,2
2015-04-Madrid,5
2015-04-Seville,2
2015-04-Valencia,5
2015-05- Barcelona,1
2015-05-Bilbao,2
2015-05-Madrid,3
2015-05-Seville,3
2015-05-Valencia,3
2015-06- Barcelona,3
2015-06-Bilbao,2
2015-06-Madrid,3
2015-06-Seville,3
2015-06-Valencia,3
2015-07- Barcelona,0
2015-07-Bilbao,2
2015-07-Madrid,3
2015-07-Seville,3
2015-07-Valencia,0
2015-08- Barcelona,0
2015-08-Bilbao,0
2015-08-Madrid,3
2015-08-Seville,3
2015-08-Valencia,0
2015-09- Barcelona,0
2015-09-Bilbao,2
2015-09-Madrid,3
2015-09-Seville,3
2015-09-Valencia,0
2015-10- Barcelona,5
2015-10-Bilbao,2
2015-10-Madrid,5
2015-10-Seville,0
2015-10-Valencia,0
2015-11- Barcelona,5
2015-11-Bilbao,2
2015-11-Madrid,1
2015-11-Seville,1
2015-11-Valencia,1
2015-12- Barcelona,5
2015-12-Bilbao,1
2015-12-Madrid,1
2015-12-Seville,1
2015-12-Valencia,2
2016-01- Barcelona,5
2016-01-Bilbao,2
2016-01-Madrid,2
2016-01-Seville,2
2016-01-Valencia,5
2016-02- Barcelona,5
2016-02-Bilbao,2
2016-02-Madrid,5
2016-02-Seville,5
2016-02-Valencia,1
2016-03- Barcelona,5
2016-03-Bilbao,2
2016-03-Madrid,1
2016-03-Seville,1
2016-03-Valencia,5
2016-04- Barcelona,5
2016-04-Bilbao,2
2016-04-Madrid,5
2016-04-Seville,0
2016-04-Valencia,5
2016-05- Barcelona,5
2016-05-Bilbao,2
2016-05-Madrid,5
2016-05-Seville,3
2016-05-Valencia,0
2016-06- Barcelona,0
2016-06-Bilbao,2
2016-06-Madrid,3
2016-06-Seville,3
2016-06-Valencia,3
2016-07- Barcelona,0
2016-07-Bilbao,2
2016-07-Madrid,3
2016-07-Seville,3
2016-07-Valencia,3
2016-08- Barcelona,0
2016-08-Bilbao,0
2016-08-Madrid,3
2016-08-Seville,3
2016-08-Valencia,3
2016-09- Barcelona,0
2016-09-Bilbao,2
2016-09-Madrid,3
2016-09-Seville,3
2016-09-Valencia,0
2016-10- Barcelona,2
2016-10-Bilbao,2
2016-10-Madrid,1
2016-10-Seville,0
2016-10-Valencia,2
2016-11- Barcelona,5
2016-11-Bilbao,2
2016-11-Madrid,2
2016-11-Seville,1
2016-11-Valencia,5
2016-12- Barcelona,1
2016-12-Bilbao,2
2016-12-Madrid,2
2016-12-Seville,1
2016-12-Valencia,2
2017-01- Barcelona,5
2017-01-Bilbao,2
2017-01-Madrid,5
2017-01-Seville,1
2017-01-Valencia,1
2017-02- Barcelona,5
2017-02-Bilbao,2
2017-02-Madrid,5
2017-02-Seville,2
2017-02-Valencia,5
2017-03- Barcelona,1
2017-03-Bilbao,2
2017-03-Madrid,1
